title;main_story_length;mainextra_length;completionist_length;combined_length;platform
#IDARB;;;;;Browser
#KillAllZombies;;;;;Browser
#monstercakes;0.25;;;;Browser
#SelfieTennis;;;;;Browser
$1 Ride;;;;;Browser
大海战 Navy Field IV;;;;;Browser
'n Verlore Verstand;4;;;;Browser
'Splosion Man;8;;;;Browser
.detuned;0.36666666666666664;;;;Browser
.EXE;;;;;Browser
.flow;;;;;Browser
.hack//G.U. Vol. 1: Rebirth;24;;;;Browser
.hack//G.U. Vol. 2: Reminisce;23;;;;Browser
.hack//G.U. Vol. 3: Redemption;25;;;;Browser
.hack//Infection;17.5;;;;Browser
.hack//Link;29;;;;Browser
.hack//Mutation;16;;;;Browser
.hack//Outbreak;20;;;;Browser
.hack//Quarantine;18;;;;Browser
.hack//Versus;12;;;;Browser
//N.P.P.D. RUSH//- The milk of Ultraviolet;2;;;;Browser
//SNOWFLAKE TATTOO//;;;;;Browser
0 Day Attack on Earth;;;;;Browser
007 Legends;6.5;;;;Browser
007 Legends: Skyfall DLC;0.5;;;;Browser
007 Racing;;;;;Browser
007: Licence to Kill;0.8;;;;Browser
007: The Living Daylights;;;;;Browser
007: The World Is Not Enough;6;;;;Browser
0D Beat Drop;;;;;Browser
0RBITALIS;2;;;;Browser
0Space;;;;;Browser
1 Moment of Time: Silentville;2;;;;Browser
1 vs. 100;;;;;Browser
1,000 Heads Among the Trees;0.8;;;;Browser
1-2-Swift;;;;;Browser
1-2-Switch;1;;;;Browser
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby);;;;;Browser
10 Billion Wives;;;;;Browser
10 Minute Tower;;;;;Browser
10 Pin Bowling;;;;;Browser
10 Second Ninja;1;;;;Browser
10 Second Ninja X;2.5;;;;Browser
10 Years After;;;;;Browser
10,000 Bullets;4.5;;;;Browser
10-Yard Fight;;;;;Browser
100 All-Time Favorites;;;;;Browser
100 Rogues;;;;;Browser
100% Orange Juice;7;;;;Browser
1000 Amps;4;;;;Browser
1000 Heroz;;;;;Browser
1000 Tiny Claws;4;;;;Browser
10000000;6;;;;Browser
1001 Spikes;6.5;;;;Browser
100ft Robot Golf;;;;;Browser
101 Ways to Die;9;;;;Browser
101-in-1 Explosive Megamix;;;;;Browser
101-in-1 Party Megamix;;;;;Browser
102 Dalmatians: Puppies to the Rescue;4;;;;Browser
1080 Snowboarding;3;;;;Browser
1080Â° Avalanche;4.5;;;;Browser
1166;1.5;;;;Browser
1187: Episode 1;6;;;;Browser
11eyes CrossOver;;;;;Browser
11eyes ~Tsumi to Batsu to Aganai no Shoujo~;;;;;Browser
12 is Better Than 6;4;;;;Browser
12 Labours of Hercules;6;;;;Browser
12 Labours of Hercules II: The Cretan Bull;6;;;;Browser
12 Labours of Hercules III: Girl Power;5.5;;;;Browser
12 Labours of Hercules IV: Mother Nature;6.5;;;;Browser
12 Labours of Hercules V: Kids of Hellas;;;;;Browser
12 Labours of Hercules VI: Race for Olympus;;;;;Browser
12 Orbits;;;;;Browser
1213: Special Edition;2.5;;;;Browser
123 Slaughter Me Street;;;;;Browser
123 Slaughter Me Street 2;;;;;Browser
140;1;;;;Browser
14px;;;;;Browser
15 Days;6.5;;;;Browser
16 Bit Arena;;;;;Browser
16bit Trader;;;;;Browser
18 Wheeler: American Pro Trucker;1;;;;Browser
18 Wheels of Steel: Across America;20;;;;Browser
18 Wheels of Steel: American Long Haul;;;;;Browser
18 Wheels of Steel: Convoy;;;;;Browser
18 Wheels of Steel: Extreme Trucker;;;;;Browser
18 Wheels of Steel: Extreme Trucker 2;;;;;Browser
18 Wheels of Steel: Haulin';;;;;Browser
18 Wheels of Steel: Pedal to the Metal;;;;;Browser
1849;12.5;;;;Browser
1869;;;;;Browser
187 Ride or Die;;;;;Browser
1893: A World's Fair Mystery;;;;;Browser
1914: Prelude to Chaos;;;;;Browser
1916 - Der unbekannte Krieg;0.08333333333333333;;;;Browser
1917 - The Alien Invasion;1;;;;Browser
1924;0.25;;;;Browser
1931: Scheherazade at the Library of Pergamum;10.5;;;;Browser
1941: Counter Attack;0.48333333333333334;;;;Browser
1942;2;;;;Browser
1942: Joint Strike;1.5;;;;Browser
1942: The Pacific Air War;;;;;Browser
1943: The Battle of Midway;3;;;;Browser
1944: The Loop Master;0.7666666666666667;;;;Browser
1945k III;;;;;Browser
1953 - KGB Unleashed;2;;;;Browser
1953: NATO vs Warsaw Pact;;;;;Browser
1954: Alcatraz;5.5;;;;Browser
1979 Revolution: Black Friday;2;;;;Browser
1982;;;;;Browser
1991 Du Ma Racing;;;;;Browser
1993 Space Machine;3;;;;Browser
199X;2;;;;Browser
19XX: The War Against Destiny;0.65;;;;Browser
1bitheart;3.5;;;;Browser
1HEART;3.5;;;;Browser
1Quest;1.5;;;;Browser
1Xtreme;0.5833333333333334;;;;Browser
2 Fast 4 Gnomz;;;;;Browser
2 Ninjas 1 Cup;;;;;Browser
2 Sectors (Doom 2 WAD);0.6833333333333333;;;;Browser
200% Mixed Juice!;5.5;;;;Browser
2000:1: A Space Felony;1;;;;Browser
2001:1: A Space Felony;;;;;Browser
2002 FIFA World Cup;;;;;Browser
2006 FIFA World Cup;;;;;Browser
2010 FIFA World Cup South Africa;;;;;Browser
2013: Infected Wars;5;;;;Browser
2014 FIFA World Cup Brazil;;;;;Browser
2048;0.26666666666666666;;;;Browser
2064: Read Only Memories;9.5;;;;Browser
20XX;4;;;;Browser
24 Hours;;;;;Browser
24 Hours 'til Rescue;;;;;Browser
