title;main_story_length;mainextra_length;completionist_length;combined_length;platform
#IDARB;;;;;PlayStation 3
#KillAllZombies;;;;;PlayStation 3
#monstercakes;0.25;;;;PlayStation 3
#SelfieTennis;;;;;PlayStation 3
$1 Ride;;;;;PlayStation 3
大海战 Navy Field IV;;;;;PlayStation 3
'n Verlore Verstand;4;;;;PlayStation 3
'Splosion Man;8;;;;PlayStation 3
.detuned;0.36666666666666664;;;;PlayStation 3
.EXE;;;;;PlayStation 3
.flow;;;;;PlayStation 3
.hack//G.U. Vol. 1: Rebirth;24;;;;PlayStation 3
.hack//G.U. Vol. 2: Reminisce;23;;;;PlayStation 3
.hack//G.U. Vol. 3: Redemption;25;;;;PlayStation 3
.hack//Infection;17.5;;;;PlayStation 3
.hack//Link;29;;;;PlayStation 3
.hack//Mutation;16;;;;PlayStation 3
.hack//Outbreak;20;;;;PlayStation 3
.hack//Quarantine;18;;;;PlayStation 3
.hack//Versus;12;;;;PlayStation 3
//N.P.P.D. RUSH//- The milk of Ultraviolet;2;;;;PlayStation 3
//SNOWFLAKE TATTOO//;;;;;PlayStation 3
0 Day Attack on Earth;;;;;PlayStation 3
007 Legends;6.5;;;;PlayStation 3
007 Legends: Skyfall DLC;0.5;;;;PlayStation 3
007 Racing;;;;;PlayStation 3
007: Licence to Kill;0.8;;;;PlayStation 3
007: The Living Daylights;;;;;PlayStation 3
007: The World Is Not Enough;6;;;;PlayStation 3
0D Beat Drop;;;;;PlayStation 3
0RBITALIS;2;;;;PlayStation 3
0Space;;;;;PlayStation 3
1 Moment of Time: Silentville;2;;;;PlayStation 3
1 vs. 100;;;;;PlayStation 3
1,000 Heads Among the Trees;0.8;;;;PlayStation 3
1-2-Swift;;;;;PlayStation 3
1-2-Switch;1;;;;PlayStation 3
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby);;;;;PlayStation 3
10 Billion Wives;;;;;PlayStation 3
10 Minute Tower;;;;;PlayStation 3
10 Pin Bowling;;;;;PlayStation 3
10 Second Ninja;1;;;;PlayStation 3
10 Second Ninja X;2.5;;;;PlayStation 3
10 Years After;;;;;PlayStation 3
10,000 Bullets;4.5;;;;PlayStation 3
10-Yard Fight;;;;;PlayStation 3
100 All-Time Favorites;;;;;PlayStation 3
100 Rogues;;;;;PlayStation 3
100% Orange Juice;7;;;;PlayStation 3
1000 Amps;4;;;;PlayStation 3
1000 Heroz;;;;;PlayStation 3
1000 Tiny Claws;4;;;;PlayStation 3
10000000;6;;;;PlayStation 3
1001 Spikes;6.5;;;;PlayStation 3
100ft Robot Golf;;;;;PlayStation 3
101 Ways to Die;9;;;;PlayStation 3
101-in-1 Explosive Megamix;;;;;PlayStation 3
