title;main_story_length;mainextra_length;completionist_length;combined_length;platform
#IDARB;;;;;PlayStation 4
#KillAllZombies;;;;;PlayStation 4
#monstercakes;0.25;;;;PlayStation 4
#SelfieTennis;;;;;PlayStation 4
$1 Ride;;;;;PlayStation 4
大海战 Navy Field IV;;;;;PlayStation 4
'n Verlore Verstand;4;;;;PlayStation 4
'Splosion Man;8;;;;PlayStation 4
.detuned;0.36666666666666664;;;;PlayStation 4
.EXE;;;;;PlayStation 4
.flow;;;;;PlayStation 4
.hack//G.U. Vol. 1: Rebirth;24;;;;PlayStation 4
.hack//G.U. Vol. 2: Reminisce;23;;;;PlayStation 4
.hack//G.U. Vol. 3: Redemption;25;;;;PlayStation 4
.hack//Infection;17.5;;;;PlayStation 4
.hack//Link;29;;;;PlayStation 4
.hack//Mutation;16;;;;PlayStation 4
.hack//Outbreak;20;;;;PlayStation 4
.hack//Quarantine;18;;;;PlayStation 4
.hack//Versus;12;;;;PlayStation 4
//N.P.P.D. RUSH//- The milk of Ultraviolet;2;;;;PlayStation 4
//SNOWFLAKE TATTOO//;;;;;PlayStation 4
0 Day Attack on Earth;;;;;PlayStation 4
007 Legends;6.5;;;;PlayStation 4
007 Legends: Skyfall DLC;0.5;;;;PlayStation 4
007 Racing;;;;;PlayStation 4
007: Licence to Kill;0.8;;;;PlayStation 4
007: The Living Daylights;;;;;PlayStation 4
007: The World Is Not Enough;6;;;;PlayStation 4
0D Beat Drop;;;;;PlayStation 4
0RBITALIS;2;;;;PlayStation 4
0Space;;;;;PlayStation 4
1 Moment of Time: Silentville;2;;;;PlayStation 4
1 vs. 100;;;;;PlayStation 4
1,000 Heads Among the Trees;0.8;;;;PlayStation 4
1-2-Swift;;;;;PlayStation 4
1-2-Switch;1;;;;PlayStation 4
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby);;;;;PlayStation 4
10 Billion Wives;;;;;PlayStation 4
10 Minute Tower;;;;;PlayStation 4
10 Pin Bowling;;;;;PlayStation 4
10 Second Ninja;1;;;;PlayStation 4
10 Second Ninja X;2.5;;;;PlayStation 4
10 Years After;;;;;PlayStation 4
10,000 Bullets;4.5;;;;PlayStation 4
10-Yard Fight;;;;;PlayStation 4
100 All-Time Favorites;;;;;PlayStation 4
100 Rogues;;;;;PlayStation 4
100% Orange Juice;7;;;;PlayStation 4
1000 Amps;4;;;;PlayStation 4
1000 Heroz;;;;;PlayStation 4
1000 Tiny Claws;4;;;;PlayStation 4
10000000;6;;;;PlayStation 4
1001 Spikes;6.5;;;;PlayStation 4
100ft Robot Golf;;;;;PlayStation 4
101 Ways to Die;9;;;;PlayStation 4
101-in-1 Explosive Megamix;;;;;PlayStation 4
101-in-1 Party Megamix;;;;;PlayStation 4
102 Dalmatians: Puppies to the Rescue;4;;;;PlayStation 4
1080 Snowboarding;3;;;;PlayStation 4
1080Â° Avalanche;4.5;;;;PlayStation 4
1166;1.5;;;;PlayStation 4
1187: Episode 1;6;;;;PlayStation 4
11eyes CrossOver;;;;;PlayStation 4
11eyes ~Tsumi to Batsu to Aganai no Shoujo~;;;;;PlayStation 4
12 is Better Than 6;4;;;;PlayStation 4
12 Labours of Hercules;6;;;;PlayStation 4
12 Labours of Hercules II: The Cretan Bull;6;;;;PlayStation 4
12 Labours of Hercules III: Girl Power;5.5;;;;PlayStation 4
12 Labours of Hercules IV: Mother Nature;6.5;;;;PlayStation 4
12 Labours of Hercules V: Kids of Hellas;;;;;PlayStation 4
12 Labours of Hercules VI: Race for Olympus;;;;;PlayStation 4
12 Orbits;;;;;PlayStation 4
1213: Special Edition;2.5;;;;PlayStation 4
123 Slaughter Me Street;;;;;PlayStation 4
123 Slaughter Me Street 2;;;;;PlayStation 4
140;1;;;;PlayStation 4
14px;;;;;PlayStation 4
15 Days;6.5;;;;PlayStation 4
16 Bit Arena;;;;;PlayStation 4
16bit Trader;;;;;PlayStation 4
18 Wheeler: American Pro Trucker;1;;;;PlayStation 4
18 Wheels of Steel: Across America;20;;;;PlayStation 4
18 Wheels of Steel: American Long Haul;;;;;PlayStation 4
18 Wheels of Steel: Convoy;;;;;PlayStation 4
18 Wheels of Steel: Extreme Trucker;;;;;PlayStation 4
18 Wheels of Steel: Extreme Trucker 2;;;;;PlayStation 4
18 Wheels of Steel: Haulin';;;;;PlayStation 4
18 Wheels of Steel: Pedal to the Metal;;;;;PlayStation 4
1849;12.5;;;;PlayStation 4
1869;;;;;PlayStation 4
187 Ride or Die;;;;;PlayStation 4
1893: A World's Fair Mystery;;;;;PlayStation 4
1914: Prelude to Chaos;;;;;PlayStation 4
1916 - Der unbekannte Krieg;0.08333333333333333;;;;PlayStation 4
1917 - The Alien Invasion;1;;;;PlayStation 4
1924;0.25;;;;PlayStation 4
1931: Scheherazade at the Library of Pergamum;10.5;;;;PlayStation 4
1941: Counter Attack;0.48333333333333334;;;;PlayStation 4
1942;2;;;;PlayStation 4
1942: Joint Strike;1.5;;;;PlayStation 4
1942: The Pacific Air War;;;;;PlayStation 4
1943: The Battle of Midway;3;;;;PlayStation 4
1944: The Loop Master;0.7666666666666667;;;;PlayStation 4
1945k III;;;;;PlayStation 4
1953 - KGB Unleashed;2;;;;PlayStation 4
1953: NATO vs Warsaw Pact;;;;;PlayStation 4
1954: Alcatraz;5.5;;;;PlayStation 4
1979 Revolution: Black Friday;2;;;;PlayStation 4
1982;;;;;PlayStation 4
1991 Du Ma Racing;;;;;PlayStation 4
1993 Space Machine;3;;;;PlayStation 4
199X;2;;;;PlayStation 4
19XX: The War Against Destiny;0.65;;;;PlayStation 4
1bitheart;3.5;;;;PlayStation 4
1HEART;3.5;;;;PlayStation 4
1Quest;1.5;;;;PlayStation 4
1Xtreme;0.5833333333333334;;;;PlayStation 4
2 Fast 4 Gnomz;;;;;PlayStation 4
2 Ninjas 1 Cup;;;;;PlayStation 4
2 Sectors (Doom 2 WAD);0.6833333333333333;;;;PlayStation 4
200% Mixed Juice!;5.5;;;;PlayStation 4
2000:1: A Space Felony;1;;;;PlayStation 4
2001:1: A Space Felony;;;;;PlayStation 4
2002 FIFA World Cup;;;;;PlayStation 4
2006 FIFA World Cup;;;;;PlayStation 4
2010 FIFA World Cup South Africa;;;;;PlayStation 4
2013: Infected Wars;5;;;;PlayStation 4
2014 FIFA World Cup Brazil;;;;;PlayStation 4
2048;0.26666666666666666;;;;PlayStation 4
2064: Read Only Memories;9.5;;;;PlayStation 4
20XX;4;;;;PlayStation 4
24 Hours;;;;;PlayStation 4
24 Hours 'til Rescue;;;;;PlayStation 4
2400 A.D.;;;;;PlayStation 4
24: The Game;12;;;;PlayStation 4
25 To Life;4.5;;;;PlayStation 4
28 Waves Later;;;;;PlayStation 4
2Dark;10;;;;PlayStation 4
2Xtreme;0.9833333333333333;;;;PlayStation 4
3 Cards to Dead Time;11.5;;;;PlayStation 4
3 Cards to Midnight;17.5;;;;PlayStation 4
3 Coins At School;;;;;PlayStation 4
3 Count Bout;2;;;;PlayStation 4
3 in Three;;;;;PlayStation 4
3 Ninjas Kick Back;2;;;;PlayStation 4
3 on 3 NHL Arcade;1;;;;PlayStation 4
3 Skulls of the Toltecs;;;;;PlayStation 4
3 Stars of Destiny;15;;;;PlayStation 4
3-D Tic-Tac-Toe;;;;;PlayStation 4
3-D Ultra Pinball;;;;;PlayStation 4
3-D Ultra Radio Control Racers;;;;;PlayStation 4
3-D WorldRunner;1;;;;PlayStation 4
30 Flights of Loathing;0.08333333333333333;;;;PlayStation 4
30 Impossible Levels;2;;;;PlayStation 4
300 Dwarves;3;;;;PlayStation 4
300: March to Glory;7.5;;;;PlayStation 4
3030 Deathwar;;;;;PlayStation 4
3030 Deathwar Redux;;;;;PlayStation 4
3079;3;;;;PlayStation 4
3089;6.5;;;;PlayStation 4
35MM;4;;;;PlayStation 4
3D Chess;;;;;PlayStation 4
3D Classics: Excitebike;1.5;;;;PlayStation 4
3D Classics: Kid Icarus;4;;;;PlayStation 4
3D Dot Game Heroes;15.5;;;;PlayStation 4
3D Ecco the Dolphin;;;;;PlayStation 4
3D Fantasy Zone II W;1.5;;;;PlayStation 4
3D Galaxy Force II;0.45;;;;PlayStation 4
3D Gunstar Heroes;2;;;;PlayStation 4
3D Maze Walker;1;;;;PlayStation 4
3D Mini Golf;;;;;PlayStation 4
3D Pinball Express;;;;;PlayStation 4
3D Pinball for Windows - Space Cadet;;;;;PlayStation 4
3D Tetris;;;;;PlayStation 4
3D Tunnel;;;;;PlayStation 4
3D Ultra MiniGolf Adventures;;;;;PlayStation 4
3D Ultra MiniGolf Adventures 2;;;;;PlayStation 4
3DRPG;;;;;PlayStation 4
3rd Super Robot Wars Alpha: To the End of the Galaxy;;;;;PlayStation 4
3rd Super Robot Wars Z: Tengoku-hen;62.5;;;;PlayStation 4
3Souls;2;;;;PlayStation 4
3SwitcheD;1.5;;;;PlayStation 4
3Xtreme;0.6833333333333333;;;;PlayStation 4
4 Elements;8.5;;;;PlayStation 4
4 Elements II;6;;;;PlayStation 4
4 Pics 1 Word;;;;;PlayStation 4
4 Wheel Drive;0.6666666666666666;;;;PlayStation 4
4 Wheel Thunder;;;;;PlayStation 4
4-in-1 Fun Pak;;;;;PlayStation 4
40 Winks;6;;;;PlayStation 4
400 Years;0.31666666666666665;;;;PlayStation 4
404Sight;0.8166666666666667;;;;PlayStation 4
4089: Ghost Within;;;;;PlayStation 4
42 All-Time Classics;;;;;PlayStation 4
4D Prince of Persia;;;;;PlayStation 4
4D Sports Boxing;;;;;PlayStation 4
4D Sports Tennis;;;;;PlayStation 4
4PM;0.43333333333333335;;;;PlayStation 4
4V4 Arashi Get The Goal;;;;;PlayStation 4
4x4 Dream Race;;;;;PlayStation 4
4x4 EVO 2;;;;;PlayStation 4
4x4 Evolution;12.5;;;;PlayStation 4
4x4 Hummer;7;;;;PlayStation 4
5 Days a Stranger;3;;;;PlayStation 4
5 Minutes Rage;;;;;PlayStation 4
50 Cent: Blood on the Sand;6;;;;PlayStation 4
50 Cent: Bulletproof;6;;;;PlayStation 4
50 years;;;;;PlayStation 4
500 Years: Act 1;;;;;PlayStation 4
5089: The Action RPG;;;;;PlayStation 4
6 Day Assassin;0.25;;;;PlayStation 4
6 Days a Sacrifice;3;;;;PlayStation 4
6 Degrees of Sabotage;0.08333333333333333;;;;PlayStation 4
60 Seconds Burger Run;0.08333333333333333;;;;PlayStation 4
60 Seconds Santa Run;0.25;;;;PlayStation 4
60 Seconds!;2;;;;PlayStation 4
6180 the moon;1;;;;PlayStation 4
64.0;;;;;PlayStation 4
688(I) Hunter/Killer;9.5;;;;PlayStation 4
69 Ways to Kill a Zombie;;;;;PlayStation 4
7 Blades;;;;;PlayStation 4
7 Days a Skeptic;3;;;;PlayStation 4
7 Days to Die;30;;;;PlayStation 4
7 Dni a 7 noci;;;;;PlayStation 4
7 Grand Steps, Step 1: What Ancients Begat;8;;;;PlayStation 4
7 Mages;;;;;PlayStation 4
7 Sins;10;;;;PlayStation 4
7 Wonders II;6;;;;PlayStation 4
7 Wonders of the Ancient World;7;;;;PlayStation 4
7 Wonders: Ancient Alien Makeover;8;;;;PlayStation 4
7 Wonders: Magical Mystery Tour;7;;;;PlayStation 4
7 Wonders: Treasures of Seven;7;;;;PlayStation 4
7,62 High Calibre;;;;;PlayStation 4
7.62mm;;;;;PlayStation 4
720 Degrees;;;;;PlayStation 4
7554;7;;;;PlayStation 4
7D Game;;;;;PlayStation 4
7th Dragon;35;;;;PlayStation 4
7th Dragon 2020;34;;;;PlayStation 4
7th Dragon 2020-II;;;;;PlayStation 4
7th Dragon III Code: VFD;32;;;;PlayStation 4
7th Legion;;;;;PlayStation 4
8 Ball Pool Multiplayer;;;;;PlayStation 4
8 Eyes;2.5;;;;PlayStation 4
8-Bit Adventures: The Forgotten Journey;;;;;PlayStation 4
8-bit Armies;;;;;PlayStation 4
8-Bit Armies: Arena;;;;;PlayStation 4
8-Bit Bayonetta;0.2833333333333333;;;;PlayStation 4
8-Bit Commando;0.8666666666666667;;;;PlayStation 4
8-bit Hordes;;;;;PlayStation 4
8-Bit Invaders!;25;;;;PlayStation 4
8-Bit Killer;;;;;PlayStation 4
8-bit Mario World - Desert Mario;0.08333333333333333;;;;PlayStation 4
80 Days;3;;;;PlayStation 4
80 Days: Around the World Adventure;8;;;;PlayStation 4
868-HACK;2;;;;PlayStation 4
88 Heroes;;;;;PlayStation 4
8Ball Allstars;;;;;PlayStation 4
8Bit Fiesta;2;;;;PlayStation 4
8BitBoy;4.5;;;;PlayStation 4
8BitMMO;;;;;PlayStation 4
8DAYS;;;;;PlayStation 4
8i;;;;;PlayStation 4
8infinity;;;;;PlayStation 4
9 Clues 2: The Ward;3;;;;PlayStation 4
9 Clues: The Secret of Serpent Creek;2.5;;;;PlayStation 4
9.03m;;;;;PlayStation 4
90 Minute Fever;;;;;PlayStation 4
90 Minutes;;;;;PlayStation 4
911 Operator;8.5;;;;PlayStation 4
99 Levels to Hell;8;;;;PlayStation 4
99 Waves to Die;;;;;PlayStation 4
999: Nine Hours, Nine Persons, Nine Doors;9.5;;;;PlayStation 4
99Vidas;2.5;;;;PlayStation 4
9:05;0.25;;;;PlayStation 4
9th Company: Roots of Terror;4;;;;PlayStation 4
9th Dawn;;;;;PlayStation 4
:the game:;0.4166666666666667;;;;PlayStation 4
A Bastard's Tale;;;;;PlayStation 4
A Bird Story;;;;;PlayStation 4
A Blind Legend;2;;;;PlayStation 4
A Box Full Of Joy;;;;;PlayStation 4
A Boy and His Blob;9;;;;PlayStation 4
A Boy and His Blob: Trouble on Blobolonia;0.8666666666666667;;;;PlayStation 4
A Bug's Life;5.5;;;;PlayStation 4
A Bug's Life (GBC);3;;;;PlayStation 4
A Camp in the Woods;;;;;PlayStation 4
A Chair in a Room: Greenwater;2;;;;PlayStation 4
A City Sleeps;1;;;;PlayStation 4
A Collection of Activision Classic Games for the Atari 2600;;;;;PlayStation 4
A Cosmic Forest;;;;;PlayStation 4
A Dark Room;3.5;;;;PlayStation 4
A Date in the Park;0.6166666666666667;;;;PlayStation 4
A Dead World's Dream;;;;;PlayStation 4
A Demon's Game - Episode 1;;;;;PlayStation 4
A Detective's Novel;1.5;;;;PlayStation 4
A Druid's Duel;13;;;;PlayStation 4
A Duck Has An Adventure;;;;;PlayStation 4
A Fairy Tale;;;;;PlayStation 4
A Family of Grave Diggers;;;;;PlayStation 4
A Farewell to Dragons;;;;;PlayStation 4
A Fistful of Gun;3;;;;PlayStation 4
A Flipping Good Time;;;;;PlayStation 4
A Foretold Affair;4;;;;PlayStation 4
A Game of Changes;;;;;PlayStation 4
A Game of Dwarves;30;;;;PlayStation 4
A Game of Thrones: Genesis;11.5;;;;PlayStation 4
A Girls Fabric Face;;;;;PlayStation 4
A Goddess for Free;0.7166666666666667;;;;PlayStation 4
A Golden Wake;5;;;;PlayStation 4
A Goo Adventure;;;;;PlayStation 4
A Good Snowman is Hard to Build;1.5;;;;PlayStation 4
A Grande Bagunca Espacial - The Big Space Mess;;;;;PlayStation 4
A Hat in Time;8;;;;PlayStation 4
A Healer Only Lives Twice;3;;;;PlayStation 4
A Hole New World;;;;;PlayStation 4
A House of Many Doors;20;;;;PlayStation 4
A Jax;;;;;PlayStation 4
A Kappa's Trail;6;;;;PlayStation 4
A King's Tale: Final Fantasy XV;1.5;;;;PlayStation 4
A Kingdom for Keflings;6;;;;PlayStation 4
A Kiss for the Petals: Remembering How We Met;;;;;PlayStation 4
A Land Fit For Heroes;;;;;PlayStation 4
A Legend of Luca;;;;;PlayStation 4
A Lenda do Heroi;;;;;PlayStation 4
