title;main_story_length;mainextra_length;completionist_length;combined_length;platform
#IDARB;;;;;PlayStation 2
#KillAllZombies;;;;;PlayStation 2
#monstercakes;0.25;;;;PlayStation 2
#SelfieTennis;;;;;PlayStation 2
$1 Ride;;;;;PlayStation 2
大海战 Navy Field IV;;;;;PlayStation 2
'n Verlore Verstand;4;;;;PlayStation 2
'Splosion Man;8;;;;PlayStation 2
.detuned;0.36666666666666664;;;;PlayStation 2
.EXE;;;;;PlayStation 2
.flow;;;;;PlayStation 2
.hack//G.U. Vol. 1: Rebirth;24;;;;PlayStation 2
.hack//G.U. Vol. 2: Reminisce;23;;;;PlayStation 2
.hack//G.U. Vol. 3: Redemption;25;;;;PlayStation 2
.hack//Infection;17.5;;;;PlayStation 2
.hack//Link;29;;;;PlayStation 2
.hack//Mutation;16;;;;PlayStation 2
.hack//Outbreak;20;;;;PlayStation 2
.hack//Quarantine;18;;;;PlayStation 2
.hack//Versus;12;;;;PlayStation 2
//N.P.P.D. RUSH//- The milk of Ultraviolet;2;;;;PlayStation 2
//SNOWFLAKE TATTOO//;;;;;PlayStation 2
0 Day Attack on Earth;;;;;PlayStation 2
007 Legends;6.5;;;;PlayStation 2
007 Legends: Skyfall DLC;0.5;;;;PlayStation 2
007 Racing;;;;;PlayStation 2
007: Licence to Kill;0.8;;;;PlayStation 2
007: The Living Daylights;;;;;PlayStation 2
007: The World Is Not Enough;6;;;;PlayStation 2
0D Beat Drop;;;;;PlayStation 2
0RBITALIS;2;;;;PlayStation 2
0Space;;;;;PlayStation 2
1 Moment of Time: Silentville;2;;;;PlayStation 2
1 vs. 100;;;;;PlayStation 2
1,000 Heads Among the Trees;0.8;;;;PlayStation 2
1-2-Swift;;;;;PlayStation 2
1-2-Switch;1;;;;PlayStation 2
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby);;;;;PlayStation 2
10 Billion Wives;;;;;PlayStation 2
10 Minute Tower;;;;;PlayStation 2
10 Pin Bowling;;;;;PlayStation 2
10 Second Ninja;1;;;;PlayStation 2
10 Second Ninja X;2.5;;;;PlayStation 2
10 Years After;;;;;PlayStation 2
10,000 Bullets;4.5;;;;PlayStation 2
10-Yard Fight;;;;;PlayStation 2
100 All-Time Favorites;;;;;PlayStation 2
100 Rogues;;;;;PlayStation 2
100% Orange Juice;7;;;;PlayStation 2
1000 Amps;4;;;;PlayStation 2
1000 Heroz;;;;;PlayStation 2
1000 Tiny Claws;4;;;;PlayStation 2
10000000;6;;;;PlayStation 2
1001 Spikes;6.5;;;;PlayStation 2
100ft Robot Golf;;;;;PlayStation 2
101 Ways to Die;9;;;;PlayStation 2
101-in-1 Explosive Megamix;;;;;PlayStation 2
101-in-1 Party Megamix;;;;;PlayStation 2
102 Dalmatians: Puppies to the Rescue;4;;;;PlayStation 2
1080 Snowboarding;3;;;;PlayStation 2
1080Â° Avalanche;4.5;;;;PlayStation 2
1166;1.5;;;;PlayStation 2
1187: Episode 1;6;;;;PlayStation 2
11eyes CrossOver;;;;;PlayStation 2
11eyes ~Tsumi to Batsu to Aganai no Shoujo~;;;;;PlayStation 2
12 is Better Than 6;4;;;;PlayStation 2
12 Labours of Hercules;6;;;;PlayStation 2
12 Labours of Hercules II: The Cretan Bull;6;;;;PlayStation 2
12 Labours of Hercules III: Girl Power;5.5;;;;PlayStation 2
12 Labours of Hercules IV: Mother Nature;6.5;;;;PlayStation 2
12 Labours of Hercules V: Kids of Hellas;;;;;PlayStation 2
12 Labours of Hercules VI: Race for Olympus;;;;;PlayStation 2
12 Orbits;;;;;PlayStation 2
1213: Special Edition;2.5;;;;PlayStation 2
123 Slaughter Me Street;;;;;PlayStation 2
123 Slaughter Me Street 2;;;;;PlayStation 2
140;1;;;;PlayStation 2
14px;;;;;PlayStation 2
15 Days;6.5;;;;PlayStation 2
16 Bit Arena;;;;;PlayStation 2
16bit Trader;;;;;PlayStation 2
18 Wheeler: American Pro Trucker;1;;;;PlayStation 2
18 Wheels of Steel: Across America;20;;;;PlayStation 2
18 Wheels of Steel: American Long Haul;;;;;PlayStation 2
18 Wheels of Steel: Convoy;;;;;PlayStation 2
18 Wheels of Steel: Extreme Trucker;;;;;PlayStation 2
18 Wheels of Steel: Extreme Trucker 2;;;;;PlayStation 2
18 Wheels of Steel: Haulin';;;;;PlayStation 2
18 Wheels of Steel: Pedal to the Metal;;;;;PlayStation 2
1849;12.5;;;;PlayStation 2
1869;;;;;PlayStation 2
187 Ride or Die;;;;;PlayStation 2
1893: A World's Fair Mystery;;;;;PlayStation 2
1914: Prelude to Chaos;;;;;PlayStation 2
1916 - Der unbekannte Krieg;0.08333333333333333;;;;PlayStation 2
1917 - The Alien Invasion;1;;;;PlayStation 2
1924;0.25;;;;PlayStation 2
1931: Scheherazade at the Library of Pergamum;10.5;;;;PlayStation 2
1941: Counter Attack;0.48333333333333334;;;;PlayStation 2
1942;2;;;;PlayStation 2
1942: Joint Strike;1.5;;;;PlayStation 2
1942: The Pacific Air War;;;;;PlayStation 2
1943: The Battle of Midway;3;;;;PlayStation 2
1944: The Loop Master;0.7666666666666667;;;;PlayStation 2
1945k III;;;;;PlayStation 2
1953 - KGB Unleashed;2;;;;PlayStation 2
1953: NATO vs Warsaw Pact;;;;;PlayStation 2
1954: Alcatraz;5.5;;;;PlayStation 2
1979 Revolution: Black Friday;2;;;;PlayStation 2
1982;;;;;PlayStation 2
1991 Du Ma Racing;;;;;PlayStation 2
1993 Space Machine;3;;;;PlayStation 2
199X;2;;;;PlayStation 2
19XX: The War Against Destiny;0.65;;;;PlayStation 2
1bitheart;3.5;;;;PlayStation 2
1HEART;3.5;;;;PlayStation 2
1Quest;1.5;;;;PlayStation 2
1Xtreme;0.5833333333333334;;;;PlayStation 2
2 Fast 4 Gnomz;;;;;PlayStation 2
2 Ninjas 1 Cup;;;;;PlayStation 2
2 Sectors (Doom 2 WAD);0.6833333333333333;;;;PlayStation 2
200% Mixed Juice!;5.5;;;;PlayStation 2
2000:1: A Space Felony;1;;;;PlayStation 2
2001:1: A Space Felony;;;;;PlayStation 2
2002 FIFA World Cup;;;;;PlayStation 2
2006 FIFA World Cup;;;;;PlayStation 2
2010 FIFA World Cup South Africa;;;;;PlayStation 2
2013: Infected Wars;5;;;;PlayStation 2
2014 FIFA World Cup Brazil;;;;;PlayStation 2
2048;0.26666666666666666;;;;PlayStation 2
2064: Read Only Memories;9.5;;;;PlayStation 2
20XX;4;;;;PlayStation 2
