title;main_story_length;mainextra_length;completionist_length;combined_length;platform
#IDARB;;;;;Android
#KillAllZombies;;;;;Android
#monstercakes;0.25;;;;Android
#SelfieTennis;;;;;Android
$1 Ride;;;;;Android
大海战 Navy Field IV;;;;;Android
'n Verlore Verstand;4;;;;Android
'Splosion Man;8;;;;Android
.detuned;0.36666666666666664;;;;Android
.EXE;;;;;Android
.flow;;;;;Android
.hack//G.U. Vol. 1: Rebirth;24;;;;Android
.hack//G.U. Vol. 2: Reminisce;23;;;;Android
.hack//G.U. Vol. 3: Redemption;25;;;;Android
.hack//Infection;17.5;;;;Android
.hack//Link;29;;;;Android
.hack//Mutation;16;;;;Android
.hack//Outbreak;20;;;;Android
.hack//Quarantine;18;;;;Android
.hack//Versus;12;;;;Android
//N.P.P.D. RUSH//- The milk of Ultraviolet;2;;;;Android
//SNOWFLAKE TATTOO//;;;;;Android
0 Day Attack on Earth;;;;;Android
007 Legends;6.5;;;;Android
007 Legends: Skyfall DLC;0.5;;;;Android
007 Racing;;;;;Android
007: Licence to Kill;0.8;;;;Android
007: The Living Daylights;;;;;Android
007: The World Is Not Enough;6;;;;Android
0D Beat Drop;;;;;Android
0RBITALIS;2;;;;Android
0Space;;;;;Android
1 Moment of Time: Silentville;2;;;;Android
1 vs. 100;;;;;Android
1,000 Heads Among the Trees;0.8;;;;Android
1-2-Swift;;;;;Android
1-2-Switch;1;;;;Android
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby);;;;;Android
10 Billion Wives;;;;;Android
10 Minute Tower;;;;;Android
10 Pin Bowling;;;;;Android
10 Second Ninja;1;;;;Android
10 Second Ninja X;2.5;;;;Android
10 Years After;;;;;Android
10,000 Bullets;4.5;;;;Android
10-Yard Fight;;;;;Android
100 All-Time Favorites;;;;;Android
100 Rogues;;;;;Android
100% Orange Juice;7;;;;Android
1000 Amps;4;;;;Android
1000 Heroz;;;;;Android
1000 Tiny Claws;4;;;;Android
10000000;6;;;;Android
1001 Spikes;6.5;;;;Android
100ft Robot Golf;;;;;Android
101 Ways to Die;9;;;;Android
101-in-1 Explosive Megamix;;;;;Android
101-in-1 Party Megamix;;;;;Android
102 Dalmatians: Puppies to the Rescue;4;;;;Android
1080 Snowboarding;3;;;;Android
1080Â° Avalanche;4.5;;;;Android
1166;1.5;;;;Android
1187: Episode 1;6;;;;Android
11eyes CrossOver;;;;;Android
11eyes ~Tsumi to Batsu to Aganai no Shoujo~;;;;;Android
12 is Better Than 6;4;;;;Android
12 Labours of Hercules;6;;;;Android
12 Labours of Hercules II: The Cretan Bull;6;;;;Android
12 Labours of Hercules III: Girl Power;5.5;;;;Android
12 Labours of Hercules IV: Mother Nature;6.5;;;;Android
12 Labours of Hercules V: Kids of Hellas;;;;;Android
12 Labours of Hercules VI: Race for Olympus;;;;;Android
12 Orbits;;;;;Android
1213: Special Edition;2.5;;;;Android
123 Slaughter Me Street;;;;;Android
123 Slaughter Me Street 2;;;;;Android
140;1;;;;Android
14px;;;;;Android
15 Days;6.5;;;;Android
16 Bit Arena;;;;;Android
16bit Trader;;;;;Android
18 Wheeler: American Pro Trucker;1;;;;Android
18 Wheels of Steel: Across America;20;;;;Android
18 Wheels of Steel: American Long Haul;;;;;Android
