title;main_story_length;mainextra_length;completionist_length;combined_length;platform
#IDARB;;;;;iOS
#KillAllZombies;;;;;iOS
#monstercakes;0.25;;;;iOS
#SelfieTennis;;;;;iOS
$1 Ride;;;;;iOS
大海战 Navy Field IV;;;;;iOS
'n Verlore Verstand;4;;;;iOS
'Splosion Man;8;;;;iOS
.detuned;0.36666666666666664;;;;iOS
.EXE;;;;;iOS
.flow;;;;;iOS
.hack//G.U. Vol. 1: Rebirth;24;;;;iOS
.hack//G.U. Vol. 2: Reminisce;23;;;;iOS
.hack//G.U. Vol. 3: Redemption;25;;;;iOS
.hack//Infection;17.5;;;;iOS
.hack//Link;29;;;;iOS
.hack//Mutation;16;;;;iOS
.hack//Outbreak;20;;;;iOS
.hack//Quarantine;18;;;;iOS
.hack//Versus;12;;;;iOS
//N.P.P.D. RUSH//- The milk of Ultraviolet;2;;;;iOS
//SNOWFLAKE TATTOO//;;;;;iOS
0 Day Attack on Earth;;;;;iOS
007 Legends;6.5;;;;iOS
007 Legends: Skyfall DLC;0.5;;;;iOS
007 Racing;;;;;iOS
007: Licence to Kill;0.8;;;;iOS
007: The Living Daylights;;;;;iOS
007: The World Is Not Enough;6;;;;iOS
0D Beat Drop;;;;;iOS
0RBITALIS;2;;;;iOS
0Space;;;;;iOS
1 Moment of Time: Silentville;2;;;;iOS
1 vs. 100;;;;;iOS
1,000 Heads Among the Trees;0.8;;;;iOS
1-2-Swift;;;;;iOS
1-2-Switch;1;;;;iOS
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby);;;;;iOS
10 Billion Wives;;;;;iOS
10 Minute Tower;;;;;iOS
10 Pin Bowling;;;;;iOS
10 Second Ninja;1;;;;iOS
10 Second Ninja X;2.5;;;;iOS
10 Years After;;;;;iOS
10,000 Bullets;4.5;;;;iOS
10-Yard Fight;;;;;iOS
100 All-Time Favorites;;;;;iOS
100 Rogues;;;;;iOS
100% Orange Juice;7;;;;iOS
1000 Amps;4;;;;iOS
1000 Heroz;;;;;iOS
1000 Tiny Claws;4;;;;iOS
10000000;6;;;;iOS
1001 Spikes;6.5;;;;iOS
100ft Robot Golf;;;;;iOS
101 Ways to Die;9;;;;iOS
101-in-1 Explosive Megamix;;;;;iOS
101-in-1 Party Megamix;;;;;iOS
102 Dalmatians: Puppies to the Rescue;4;;;;iOS
1080 Snowboarding;3;;;;iOS
1080Â° Avalanche;4.5;;;;iOS
1166;1.5;;;;iOS
1187: Episode 1;6;;;;iOS
11eyes CrossOver;;;;;iOS
11eyes ~Tsumi to Batsu to Aganai no Shoujo~;;;;;iOS
12 is Better Than 6;4;;;;iOS
12 Labours of Hercules;6;;;;iOS
12 Labours of Hercules II: The Cretan Bull;6;;;;iOS
12 Labours of Hercules III: Girl Power;5.5;;;;iOS
12 Labours of Hercules IV: Mother Nature;6.5;;;;iOS
12 Labours of Hercules V: Kids of Hellas;;;;;iOS
12 Labours of Hercules VI: Race for Olympus;;;;;iOS
12 Orbits;;;;;iOS
1213: Special Edition;2.5;;;;iOS
123 Slaughter Me Street;;;;;iOS
123 Slaughter Me Street 2;;;;;iOS
140;1;;;;iOS
14px;;;;;iOS
15 Days;6.5;;;;iOS
16 Bit Arena;;;;;iOS
16bit Trader;;;;;iOS
18 Wheeler: American Pro Trucker;1;;;;iOS
18 Wheels of Steel: Across America;20;;;;iOS
18 Wheels of Steel: American Long Haul;;;;;iOS
18 Wheels of Steel: Convoy;;;;;iOS
18 Wheels of Steel: Extreme Trucker;;;;;iOS
18 Wheels of Steel: Extreme Trucker 2;;;;;iOS
18 Wheels of Steel: Haulin';;;;;iOS
18 Wheels of Steel: Pedal to the Metal;;;;;iOS
1849;12.5;;;;iOS
1869;;;;;iOS
187 Ride or Die;;;;;iOS
1893: A World's Fair Mystery;;;;;iOS
1914: Prelude to Chaos;;;;;iOS
1916 - Der unbekannte Krieg;0.08333333333333333;;;;iOS
1917 - The Alien Invasion;1;;;;iOS
1924;0.25;;;;iOS
1931: Scheherazade at the Library of Pergamum;10.5;;;;iOS
1941: Counter Attack;0.48333333333333334;;;;iOS
1942;2;;;;iOS
1942: Joint Strike;1.5;;;;iOS
1942: The Pacific Air War;;;;;iOS
1943: The Battle of Midway;3;;;;iOS
