title;main_story_length;mainextra_length;completionist_length;combined_length;platform
#IDARB;;;;;Mac
#KillAllZombies;;;;;Mac
#monstercakes;0.25;;;;Mac
#SelfieTennis;;;;;Mac
$1 Ride;;;;;Mac
大海战 Navy Field IV;;;;;Mac
'n Verlore Verstand;4;;;;Mac
'Splosion Man;8;;;;Mac
.detuned;0.36666666666666664;;;;Mac
.EXE;;;;;Mac
.flow;;;;;Mac
.hack//G.U. Vol. 1: Rebirth;24;;;;Mac
.hack//G.U. Vol. 2: Reminisce;23;;;;Mac
.hack//G.U. Vol. 3: Redemption;25;;;;Mac
.hack//Infection;17.5;;;;Mac
.hack//Link;29;;;;Mac
.hack//Mutation;16;;;;Mac
.hack//Outbreak;20;;;;Mac
.hack//Quarantine;18;;;;Mac
.hack//Versus;12;;;;Mac
//N.P.P.D. RUSH//- The milk of Ultraviolet;2;;;;Mac
//SNOWFLAKE TATTOO//;;;;;Mac
0 Day Attack on Earth;;;;;Mac
007 Legends;6.5;;;;Mac
007 Legends: Skyfall DLC;0.5;;;;Mac
007 Racing;;;;;Mac
007: Licence to Kill;0.8;;;;Mac
007: The Living Daylights;;;;;Mac
007: The World Is Not Enough;6;;;;Mac
0D Beat Drop;;;;;Mac
0RBITALIS;2;;;;Mac
0Space;;;;;Mac
1 Moment of Time: Silentville;2;;;;Mac
1 vs. 100;;;;;Mac
1,000 Heads Among the Trees;0.8;;;;Mac
1-2-Swift;;;;;Mac
1-2-Switch;1;;;;Mac
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby);;;;;Mac
10 Billion Wives;;;;;Mac
10 Minute Tower;;;;;Mac
10 Pin Bowling;;;;;Mac
10 Second Ninja;1;;;;Mac
10 Second Ninja X;2.5;;;;Mac
10 Years After;;;;;Mac
10,000 Bullets;4.5;;;;Mac
10-Yard Fight;;;;;Mac
100 All-Time Favorites;;;;;Mac
100 Rogues;;;;;Mac
100% Orange Juice;7;;;;Mac
1000 Amps;4;;;;Mac
1000 Heroz;;;;;Mac
1000 Tiny Claws;4;;;;Mac
10000000;6;;;;Mac
1001 Spikes;6.5;;;;Mac
100ft Robot Golf;;;;;Mac
101 Ways to Die;9;;;;Mac
101-in-1 Explosive Megamix;;;;;Mac
101-in-1 Party Megamix;;;;;Mac
102 Dalmatians: Puppies to the Rescue;4;;;;Mac
1080 Snowboarding;3;;;;Mac
1080Â° Avalanche;4.5;;;;Mac
