title;main_story_length;mainextra_length;completionist_length;combined_length;platform
#IDARB;;;;;PC
#KillAllZombies;;;;;PC
#monstercakes;0.25;;;;PC
#SelfieTennis;;;;;PC
$1 Ride;;;;;PC
大海战 Navy Field IV;;;;;PC
'n Verlore Verstand;4;;;;PC
'Splosion Man;8;;;;PC
.detuned;0.36666666666666664;;;;PC
.EXE;;;;;PC
.flow;;;;;PC
.hack//G.U. Vol. 1: Rebirth;24;;;;PC
.hack//G.U. Vol. 2: Reminisce;23;;;;PC
.hack//G.U. Vol. 3: Redemption;25;;;;PC
.hack//Infection;17.5;;;;PC
.hack//Link;29;;;;PC
.hack//Mutation;16;;;;PC
.hack//Outbreak;20;;;;PC
.hack//Quarantine;18;;;;PC
.hack//Versus;12;;;;PC
//N.P.P.D. RUSH//- The milk of Ultraviolet;2;;;;PC
//SNOWFLAKE TATTOO//;;;;;PC
0 Day Attack on Earth;;;;;PC
007 Legends;6.5;;;;PC
007 Legends: Skyfall DLC;0.5;;;;PC
007 Racing;;;;;PC
007: Licence to Kill;0.8;;;;PC
007: The Living Daylights;;;;;PC
007: The World Is Not Enough;6;;;;PC
0D Beat Drop;;;;;PC
0RBITALIS;2;;;;PC
0Space;;;;;PC
1 Moment of Time: Silentville;2;;;;PC
1 vs. 100;;;;;PC
1,000 Heads Among the Trees;0.8;;;;PC
1-2-Swift;;;;;PC
1-2-Switch;1;;;;PC
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby);;;;;PC
10 Billion Wives;;;;;PC
10 Minute Tower;;;;;PC
10 Pin Bowling;;;;;PC
10 Second Ninja;1;;;;PC
10 Second Ninja X;2.5;;;;PC
10 Years After;;;;;PC
10,000 Bullets;4.5;;;;PC
10-Yard Fight;;;;;PC
100 All-Time Favorites;;;;;PC
100 Rogues;;;;;PC
100% Orange Juice;7;;;;PC
1000 Amps;4;;;;PC
1000 Heroz;;;;;PC
1000 Tiny Claws;4;;;;PC
10000000;6;;;;PC
1001 Spikes;6.5;;;;PC
100ft Robot Golf;;;;;PC
101 Ways to Die;9;;;;PC
101-in-1 Explosive Megamix;;;;;PC
101-in-1 Party Megamix;;;;;PC
102 Dalmatians: Puppies to the Rescue;4;;;;PC
1080 Snowboarding;3;;;;PC
1080Â° Avalanche;4.5;;;;PC
1166;1.5;;;;PC
1187: Episode 1;6;;;;PC
11eyes CrossOver;;;;;PC
11eyes ~Tsumi to Batsu to Aganai no Shoujo~;;;;;PC
12 is Better Than 6;4;;;;PC
12 Labours of Hercules;6;;;;PC
12 Labours of Hercules II: The Cretan Bull;6;;;;PC
12 Labours of Hercules III: Girl Power;5.5;;;;PC
12 Labours of Hercules IV: Mother Nature;6.5;;;;PC
12 Labours of Hercules V: Kids of Hellas;;;;;PC
12 Labours of Hercules VI: Race for Olympus;;;;;PC
12 Orbits;;;;;PC
1213: Special Edition;2.5;;;;PC
123 Slaughter Me Street;;;;;PC
123 Slaughter Me Street 2;;;;;PC
140;1;;;;PC
14px;;;;;PC
15 Days;6.5;;;;PC
16 Bit Arena;;;;;PC
16bit Trader;;;;;PC
18 Wheeler: American Pro Trucker;1;;;;PC
18 Wheels of Steel: Across America;20;;;;PC
18 Wheels of Steel: American Long Haul;;;;;PC
18 Wheels of Steel: Convoy;;;;;PC
18 Wheels of Steel: Extreme Trucker;;;;;PC
18 Wheels of Steel: Extreme Trucker 2;;;;;PC
18 Wheels of Steel: Haulin';;;;;PC
