title;main_story_length;mainextra_length;completionist_length;combined_length;platform
#IDARB;;;;;Xbox
#KillAllZombies;;;;;Xbox
#monstercakes;0.25;;;;Xbox
#SelfieTennis;;;;;Xbox
$1 Ride;;;;;Xbox
大海战 Navy Field IV;;;;;Xbox
'n Verlore Verstand;4;;;;Xbox
'Splosion Man;8;;;;Xbox
.detuned;0.36666666666666664;;;;Xbox
.EXE;;;;;Xbox
.flow;;;;;Xbox
.hack//G.U. Vol. 1: Rebirth;24;;;;Xbox
.hack//G.U. Vol. 2: Reminisce;23;;;;Xbox
.hack//G.U. Vol. 3: Redemption;25;;;;Xbox
.hack//Infection;17.5;;;;Xbox
.hack//Link;29;;;;Xbox
.hack//Mutation;16;;;;Xbox
.hack//Outbreak;20;;;;Xbox
.hack//Quarantine;18;;;;Xbox
.hack//Versus;12;;;;Xbox
//N.P.P.D. RUSH//- The milk of Ultraviolet;2;;;;Xbox
//SNOWFLAKE TATTOO//;;;;;Xbox
0 Day Attack on Earth;;;;;Xbox
007 Legends;6.5;;;;Xbox
007 Legends: Skyfall DLC;0.5;;;;Xbox
007 Racing;;;;;Xbox
007: Licence to Kill;0.8;;;;Xbox
007: The Living Daylights;;;;;Xbox
007: The World Is Not Enough;6;;;;Xbox
0D Beat Drop;;;;;Xbox
0RBITALIS;2;;;;Xbox
0Space;;;;;Xbox
1 Moment of Time: Silentville;2;;;;Xbox
1 vs. 100;;;;;Xbox
1,000 Heads Among the Trees;0.8;;;;Xbox
1-2-Swift;;;;;Xbox
1-2-Switch;1;;;;Xbox
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby);;;;;Xbox
10 Billion Wives;;;;;Xbox
10 Minute Tower;;;;;Xbox
10 Pin Bowling;;;;;Xbox
10 Second Ninja;1;;;;Xbox
10 Second Ninja X;2.5;;;;Xbox
10 Years After;;;;;Xbox
10,000 Bullets;4.5;;;;Xbox
10-Yard Fight;;;;;Xbox
100 All-Time Favorites;;;;;Xbox
100 Rogues;;;;;Xbox
100% Orange Juice;7;;;;Xbox
1000 Amps;4;;;;Xbox
1000 Heroz;;;;;Xbox
1000 Tiny Claws;4;;;;Xbox
10000000;6;;;;Xbox
1001 Spikes;6.5;;;;Xbox
100ft Robot Golf;;;;;Xbox
101 Ways to Die;9;;;;Xbox
101-in-1 Explosive Megamix;;;;;Xbox
101-in-1 Party Megamix;;;;;Xbox
102 Dalmatians: Puppies to the Rescue;4;;;;Xbox
1080 Snowboarding;3;;;;Xbox
1080Â° Avalanche;4.5;;;;Xbox
1166;1.5;;;;Xbox
1187: Episode 1;6;;;;Xbox
11eyes CrossOver;;;;;Xbox
11eyes ~Tsumi to Batsu to Aganai no Shoujo~;;;;;Xbox
12 is Better Than 6;4;;;;Xbox
12 Labours of Hercules;6;;;;Xbox
12 Labours of Hercules II: The Cretan Bull;6;;;;Xbox
12 Labours of Hercules III: Girl Power;5.5;;;;Xbox
12 Labours of Hercules IV: Mother Nature;6.5;;;;Xbox
12 Labours of Hercules V: Kids of Hellas;;;;;Xbox
12 Labours of Hercules VI: Race for Olympus;;;;;Xbox
12 Orbits;;;;;Xbox
1213: Special Edition;2.5;;;;Xbox
123 Slaughter Me Street;;;;;Xbox
123 Slaughter Me Street 2;;;;;Xbox
140;1;;;;Xbox
14px;;;;;Xbox
15 Days;6.5;;;;Xbox
16 Bit Arena;;;;;Xbox
16bit Trader;;;;;Xbox
18 Wheeler: American Pro Trucker;1;;;;Xbox
18 Wheels of Steel: Across America;20;;;;Xbox
18 Wheels of Steel: American Long Haul;;;;;Xbox
18 Wheels of Steel: Convoy;;;;;Xbox
18 Wheels of Steel: Extreme Trucker;;;;;Xbox
18 Wheels of Steel: Extreme Trucker 2;;;;;Xbox
18 Wheels of Steel: Haulin';;;;;Xbox
18 Wheels of Steel: Pedal to the Metal;;;;;Xbox
1849;12.5;;;;Xbox
1869;;;;;Xbox
187 Ride or Die;;;;;Xbox
1893: A World's Fair Mystery;;;;;Xbox
1914: Prelude to Chaos;;;;;Xbox
1916 - Der unbekannte Krieg;0.08333333333333333;;;;Xbox
1917 - The Alien Invasion;1;;;;Xbox
1924;0.25;;;;Xbox
1931: Scheherazade at the Library of Pergamum;10.5;;;;Xbox
1941: Counter Attack;0.48333333333333334;;;;Xbox
1942;2;;;;Xbox
1942: Joint Strike;1.5;;;;Xbox
1942: The Pacific Air War;;;;;Xbox
1943: The Battle of Midway;3;;;;Xbox
1944: The Loop Master;0.7666666666666667;;;;Xbox
1945k III;;;;;Xbox
1953 - KGB Unleashed;2;;;;Xbox
1953: NATO vs Warsaw Pact;;;;;Xbox
1954: Alcatraz;5.5;;;;Xbox
1979 Revolution: Black Friday;2;;;;Xbox
1982;;;;;Xbox
1991 Du Ma Racing;;;;;Xbox
1993 Space Machine;3;;;;Xbox
199X;2;;;;Xbox
19XX: The War Against Destiny;0.65;;;;Xbox
1bitheart;3.5;;;;Xbox
1HEART;3.5;;;;Xbox
1Quest;1.5;;;;Xbox
1Xtreme;0.5833333333333334;;;;Xbox
2 Fast 4 Gnomz;;;;;Xbox
2 Ninjas 1 Cup;;;;;Xbox
2 Sectors (Doom 2 WAD);0.6833333333333333;;;;Xbox
200% Mixed Juice!;5.5;;;;Xbox
2000:1: A Space Felony;1;;;;Xbox
2001:1: A Space Felony;;;;;Xbox
2002 FIFA World Cup;;;;;Xbox
2006 FIFA World Cup;;;;;Xbox
2010 FIFA World Cup South Africa;;;;;Xbox
2013: Infected Wars;5;;;;Xbox
2014 FIFA World Cup Brazil;;;;;Xbox
2048;0.26666666666666666;;;;Xbox
2064: Read Only Memories;9.5;;;;Xbox
20XX;4;;;;Xbox
24 Hours;;;;;Xbox
24 Hours 'til Rescue;;;;;Xbox
2400 A.D.;;;;;Xbox
24: The Game;12;;;;Xbox
25 To Life;4.5;;;;Xbox
28 Waves Later;;;;;Xbox
2Dark;10;;;;Xbox
2Xtreme;0.9833333333333333;;;;Xbox
3 Cards to Dead Time;11.5;;;;Xbox
3 Cards to Midnight;17.5;;;;Xbox
3 Coins At School;;;;;Xbox
3 Count Bout;2;;;;Xbox
3 in Three;;;;;Xbox
3 Ninjas Kick Back;2;;;;Xbox
3 on 3 NHL Arcade;1;;;;Xbox
3 Skulls of the Toltecs;;;;;Xbox
3 Stars of Destiny;15;;;;Xbox
3-D Tic-Tac-Toe;;;;;Xbox
3-D Ultra Pinball;;;;;Xbox
3-D Ultra Radio Control Racers;;;;;Xbox
3-D WorldRunner;1;;;;Xbox
30 Flights of Loathing;0.08333333333333333;;;;Xbox
30 Impossible Levels;2;;;;Xbox
300 Dwarves;3;;;;Xbox
300: March to Glory;7.5;;;;Xbox
3030 Deathwar;;;;;Xbox
3030 Deathwar Redux;;;;;Xbox
3079;3;;;;Xbox
3089;6.5;;;;Xbox
35MM;4;;;;Xbox
3D Chess;;;;;Xbox
3D Classics: Excitebike;1.5;;;;Xbox
3D Classics: Kid Icarus;4;;;;Xbox
3D Dot Game Heroes;15.5;;;;Xbox
3D Ecco the Dolphin;;;;;Xbox
3D Fantasy Zone II W;1.5;;;;Xbox
3D Galaxy Force II;0.45;;;;Xbox
3D Gunstar Heroes;2;;;;Xbox
3D Maze Walker;1;;;;Xbox
3D Mini Golf;;;;;Xbox
3D Pinball Express;;;;;Xbox
3D Pinball for Windows - Space Cadet;;;;;Xbox
3D Tetris;;;;;Xbox
3D Tunnel;;;;;Xbox
3D Ultra MiniGolf Adventures;;;;;Xbox
3D Ultra MiniGolf Adventures 2;;;;;Xbox
3DRPG;;;;;Xbox
3rd Super Robot Wars Alpha: To the End of the Galaxy;;;;;Xbox
3rd Super Robot Wars Z: Tengoku-hen;62.5;;;;Xbox
3Souls;2;;;;Xbox
3SwitcheD;1.5;;;;Xbox
3Xtreme;0.6833333333333333;;;;Xbox
4 Elements;8.5;;;;Xbox
4 Elements II;6;;;;Xbox
4 Pics 1 Word;;;;;Xbox
4 Wheel Drive;0.6666666666666666;;;;Xbox
4 Wheel Thunder;;;;;Xbox
4-in-1 Fun Pak;;;;;Xbox
40 Winks;6;;;;Xbox
400 Years;0.31666666666666665;;;;Xbox
404Sight;0.8166666666666667;;;;Xbox
4089: Ghost Within;;;;;Xbox
42 All-Time Classics;;;;;Xbox
4D Prince of Persia;;;;;Xbox
4D Sports Boxing;;;;;Xbox
4D Sports Tennis;;;;;Xbox
4PM;0.43333333333333335;;;;Xbox
4V4 Arashi Get The Goal;;;;;Xbox
4x4 Dream Race;;;;;Xbox
