title;main_story_length;mainextra_length;completionist_length;combined_length;platform
#IDARB;;;;;Xbox One
#KillAllZombies;;;;;Xbox One
#monstercakes;0.25;;;;Xbox One
#SelfieTennis;;;;;Xbox One
$1 Ride;;;;;Xbox One
大海战 Navy Field IV;;;;;Xbox One
'n Verlore Verstand;4;;;;Xbox One
'Splosion Man;8;;;;Xbox One
.detuned;0.36666666666666664;;;;Xbox One
.EXE;;;;;Xbox One
.flow;;;;;Xbox One
.hack//G.U. Vol. 1: Rebirth;24;;;;Xbox One
.hack//G.U. Vol. 2: Reminisce;23;;;;Xbox One
.hack//G.U. Vol. 3: Redemption;25;;;;Xbox One
.hack//Infection;17.5;;;;Xbox One
.hack//Link;29;;;;Xbox One
.hack//Mutation;16;;;;Xbox One
.hack//Outbreak;20;;;;Xbox One
.hack//Quarantine;18;;;;Xbox One
.hack//Versus;12;;;;Xbox One
//N.P.P.D. RUSH//- The milk of Ultraviolet;2;;;;Xbox One
//SNOWFLAKE TATTOO//;;;;;Xbox One
0 Day Attack on Earth;;;;;Xbox One
007 Legends;6.5;;;;Xbox One
007 Legends: Skyfall DLC;0.5;;;;Xbox One
007 Racing;;;;;Xbox One
007: Licence to Kill;0.8;;;;Xbox One
007: The Living Daylights;;;;;Xbox One
007: The World Is Not Enough;6;;;;Xbox One
0D Beat Drop;;;;;Xbox One
0RBITALIS;2;;;;Xbox One
0Space;;;;;Xbox One
1 Moment of Time: Silentville;2;;;;Xbox One
1 vs. 100;;;;;Xbox One
1,000 Heads Among the Trees;0.8;;;;Xbox One
1-2-Swift;;;;;Xbox One
1-2-Switch;1;;;;Xbox One
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby);;;;;Xbox One
10 Billion Wives;;;;;Xbox One
10 Minute Tower;;;;;Xbox One
10 Pin Bowling;;;;;Xbox One
10 Second Ninja;1;;;;Xbox One
10 Second Ninja X;2.5;;;;Xbox One
10 Years After;;;;;Xbox One
10,000 Bullets;4.5;;;;Xbox One
10-Yard Fight;;;;;Xbox One
100 All-Time Favorites;;;;;Xbox One
100 Rogues;;;;;Xbox One
100% Orange Juice;7;;;;Xbox One
1000 Amps;4;;;;Xbox One
1000 Heroz;;;;;Xbox One
1000 Tiny Claws;4;;;;Xbox One
10000000;6;;;;Xbox One
1001 Spikes;6.5;;;;Xbox One
100ft Robot Golf;;;;;Xbox One
101 Ways to Die;9;;;;Xbox One
101-in-1 Explosive Megamix;;;;;Xbox One
101-in-1 Party Megamix;;;;;Xbox One
102 Dalmatians: Puppies to the Rescue;4;;;;Xbox One
1080 Snowboarding;3;;;;Xbox One
1080Â° Avalanche;4.5;;;;Xbox One
1166;1.5;;;;Xbox One
1187: Episode 1;6;;;;Xbox One
11eyes CrossOver;;;;;Xbox One
11eyes ~Tsumi to Batsu to Aganai no Shoujo~;;;;;Xbox One
12 is Better Than 6;4;;;;Xbox One
12 Labours of Hercules;6;;;;Xbox One
12 Labours of Hercules II: The Cretan Bull;6;;;;Xbox One
12 Labours of Hercules III: Girl Power;5.5;;;;Xbox One
12 Labours of Hercules IV: Mother Nature;6.5;;;;Xbox One
12 Labours of Hercules V: Kids of Hellas;;;;;Xbox One
12 Labours of Hercules VI: Race for Olympus;;;;;Xbox One
12 Orbits;;;;;Xbox One
1213: Special Edition;2.5;;;;Xbox One
123 Slaughter Me Street;;;;;Xbox One
123 Slaughter Me Street 2;;;;;Xbox One
140;1;;;;Xbox One
14px;;;;;Xbox One
15 Days;6.5;;;;Xbox One
16 Bit Arena;;;;;Xbox One
16bit Trader;;;;;Xbox One
18 Wheeler: American Pro Trucker;1;;;;Xbox One
18 Wheels of Steel: Across America;20;;;;Xbox One
18 Wheels of Steel: American Long Haul;;;;;Xbox One
18 Wheels of Steel: Convoy;;;;;Xbox One
18 Wheels of Steel: Extreme Trucker;;;;;Xbox One
18 Wheels of Steel: Extreme Trucker 2;;;;;Xbox One
18 Wheels of Steel: Haulin';;;;;Xbox One
18 Wheels of Steel: Pedal to the Metal;;;;;Xbox One
1849;12.5;;;;Xbox One
1869;;;;;Xbox One
187 Ride or Die;;;;;Xbox One
1893: A World's Fair Mystery;;;;;Xbox One
1914: Prelude to Chaos;;;;;Xbox One
1916 - Der unbekannte Krieg;0.08333333333333333;;;;Xbox One
1917 - The Alien Invasion;1;;;;Xbox One
1924;0.25;;;;Xbox One
1931: Scheherazade at the Library of Pergamum;10.5;;;;Xbox One
1941: Counter Attack;0.48333333333333334;;;;Xbox One
1942;2;;;;Xbox One
1942: Joint Strike;1.5;;;;Xbox One
1942: The Pacific Air War;;;;;Xbox One
1943: The Battle of Midway;3;;;;Xbox One
1944: The Loop Master;0.7666666666666667;;;;Xbox One
1945k III;;;;;Xbox One
1953 - KGB Unleashed;2;;;;Xbox One
1953: NATO vs Warsaw Pact;;;;;Xbox One
1954: Alcatraz;5.5;;;;Xbox One
1979 Revolution: Black Friday;2;;;;Xbox One
1982;;;;;Xbox One
1991 Du Ma Racing;;;;;Xbox One
1993 Space Machine;3;;;;Xbox One
199X;2;;;;Xbox One
19XX: The War Against Destiny;0.65;;;;Xbox One
1bitheart;3.5;;;;Xbox One
1HEART;3.5;;;;Xbox One
1Quest;1.5;;;;Xbox One
1Xtreme;0.5833333333333334;;;;Xbox One
2 Fast 4 Gnomz;;;;;Xbox One
2 Ninjas 1 Cup;;;;;Xbox One
2 Sectors (Doom 2 WAD);0.6833333333333333;;;;Xbox One
200% Mixed Juice!;5.5;;;;Xbox One
2000:1: A Space Felony;1;;;;Xbox One
2001:1: A Space Felony;;;;;Xbox One
2002 FIFA World Cup;;;;;Xbox One
2006 FIFA World Cup;;;;;Xbox One
2010 FIFA World Cup South Africa;;;;;Xbox One
2013: Infected Wars;5;;;;Xbox One
2014 FIFA World Cup Brazil;;;;;Xbox One
2048;0.26666666666666666;;;;Xbox One
2064: Read Only Memories;9.5;;;;Xbox One
20XX;4;;;;Xbox One
24 Hours;;;;;Xbox One
24 Hours 'til Rescue;;;;;Xbox One
2400 A.D.;;;;;Xbox One
24: The Game;12;;;;Xbox One
25 To Life;4.5;;;;Xbox One
28 Waves Later;;;;;Xbox One
2Dark;10;;;;Xbox One
2Xtreme;0.9833333333333333;;;;Xbox One
3 Cards to Dead Time;11.5;;;;Xbox One
3 Cards to Midnight;17.5;;;;Xbox One
3 Coins At School;;;;;Xbox One
3 Count Bout;2;;;;Xbox One
3 in Three;;;;;Xbox One
3 Ninjas Kick Back;2;;;;Xbox One
3 on 3 NHL Arcade;1;;;;Xbox One
3 Skulls of the Toltecs;;;;;Xbox One
3 Stars of Destiny;15;;;;Xbox One
3-D Tic-Tac-Toe;;;;;Xbox One
3-D Ultra Pinball;;;;;Xbox One
3-D Ultra Radio Control Racers;;;;;Xbox One
3-D WorldRunner;1;;;;Xbox One
30 Flights of Loathing;0.08333333333333333;;;;Xbox One
30 Impossible Levels;2;;;;Xbox One
300 Dwarves;3;;;;Xbox One
300: March to Glory;7.5;;;;Xbox One
3030 Deathwar;;;;;Xbox One
3030 Deathwar Redux;;;;;Xbox One
3079;3;;;;Xbox One
3089;6.5;;;;Xbox One
35MM;4;;;;Xbox One
3D Chess;;;;;Xbox One
3D Classics: Excitebike;1.5;;;;Xbox One
3D Classics: Kid Icarus;4;;;;Xbox One
3D Dot Game Heroes;15.5;;;;Xbox One
3D Ecco the Dolphin;;;;;Xbox One
3D Fantasy Zone II W;1.5;;;;Xbox One
3D Galaxy Force II;0.45;;;;Xbox One
3D Gunstar Heroes;2;;;;Xbox One
3D Maze Walker;1;;;;Xbox One
3D Mini Golf;;;;;Xbox One
3D Pinball Express;;;;;Xbox One
3D Pinball for Windows - Space Cadet;;;;;Xbox One
3D Tetris;;;;;Xbox One
3D Tunnel;;;;;Xbox One
3D Ultra MiniGolf Adventures;;;;;Xbox One
3D Ultra MiniGolf Adventures 2;;;;;Xbox One
3DRPG;;;;;Xbox One
3rd Super Robot Wars Alpha: To the End of the Galaxy;;;;;Xbox One
3rd Super Robot Wars Z: Tengoku-hen;62.5;;;;Xbox One
3Souls;2;;;;Xbox One
3SwitcheD;1.5;;;;Xbox One
3Xtreme;0.6833333333333333;;;;Xbox One
4 Elements;8.5;;;;Xbox One
4 Elements II;6;;;;Xbox One
4 Pics 1 Word;;;;;Xbox One
4 Wheel Drive;0.6666666666666666;;;;Xbox One
4 Wheel Thunder;;;;;Xbox One
4-in-1 Fun Pak;;;;;Xbox One
40 Winks;6;;;;Xbox One
400 Years;0.31666666666666665;;;;Xbox One
404Sight;0.8166666666666667;;;;Xbox One
4089: Ghost Within;;;;;Xbox One
42 All-Time Classics;;;;;Xbox One
4D Prince of Persia;;;;;Xbox One
4D Sports Boxing;;;;;Xbox One
4D Sports Tennis;;;;;Xbox One
4PM;0.43333333333333335;;;;Xbox One
4V4 Arashi Get The Goal;;;;;Xbox One
4x4 Dream Race;;;;;Xbox One
4x4 EVO 2;;;;;Xbox One
4x4 Evolution;12.5;;;;Xbox One
4x4 Hummer;7;;;;Xbox One
5 Days a Stranger;3;;;;Xbox One
5 Minutes Rage;;;;;Xbox One
50 Cent: Blood on the Sand;6;;;;Xbox One
50 Cent: Bulletproof;6;;;;Xbox One
50 years;;;;;Xbox One
500 Years: Act 1;;;;;Xbox One
5089: The Action RPG;;;;;Xbox One
6 Day Assassin;0.25;;;;Xbox One
6 Days a Sacrifice;3;;;;Xbox One
6 Degrees of Sabotage;0.08333333333333333;;;;Xbox One
60 Seconds Burger Run;0.08333333333333333;;;;Xbox One
60 Seconds Santa Run;0.25;;;;Xbox One
60 Seconds!;2;;;;Xbox One
6180 the moon;1;;;;Xbox One
64.0;;;;;Xbox One
688(I) Hunter/Killer;9.5;;;;Xbox One
69 Ways to Kill a Zombie;;;;;Xbox One
7 Blades;;;;;Xbox One
7 Days a Skeptic;3;;;;Xbox One
7 Days to Die;30;;;;Xbox One
7 Dni a 7 noci;;;;;Xbox One
7 Grand Steps, Step 1: What Ancients Begat;8;;;;Xbox One
7 Mages;;;;;Xbox One
7 Sins;10;;;;Xbox One
7 Wonders II;6;;;;Xbox One
7 Wonders of the Ancient World;7;;;;Xbox One
7 Wonders: Ancient Alien Makeover;8;;;;Xbox One
7 Wonders: Magical Mystery Tour;7;;;;Xbox One
7 Wonders: Treasures of Seven;7;;;;Xbox One
7,62 High Calibre;;;;;Xbox One
7.62mm;;;;;Xbox One
720 Degrees;;;;;Xbox One
7554;7;;;;Xbox One
7D Game;;;;;Xbox One
7th Dragon;35;;;;Xbox One
7th Dragon 2020;34;;;;Xbox One
7th Dragon 2020-II;;;;;Xbox One
7th Dragon III Code: VFD;32;;;;Xbox One
7th Legion;;;;;Xbox One
8 Ball Pool Multiplayer;;;;;Xbox One
8 Eyes;2.5;;;;Xbox One
8-Bit Adventures: The Forgotten Journey;;;;;Xbox One
8-bit Armies;;;;;Xbox One
8-Bit Armies: Arena;;;;;Xbox One
8-Bit Bayonetta;0.2833333333333333;;;;Xbox One
8-Bit Commando;0.8666666666666667;;;;Xbox One
8-bit Hordes;;;;;Xbox One
8-Bit Invaders!;25;;;;Xbox One
8-Bit Killer;;;;;Xbox One
8-bit Mario World - Desert Mario;0.08333333333333333;;;;Xbox One
80 Days;3;;;;Xbox One
80 Days: Around the World Adventure;8;;;;Xbox One
868-HACK;2;;;;Xbox One
88 Heroes;;;;;Xbox One
8Ball Allstars;;;;;Xbox One
8Bit Fiesta;2;;;;Xbox One
8BitBoy;4.5;;;;Xbox One
8BitMMO;;;;;Xbox One
8DAYS;;;;;Xbox One
8i;;;;;Xbox One
8infinity;;;;;Xbox One
9 Clues 2: The Ward;3;;;;Xbox One
9 Clues: The Secret of Serpent Creek;2.5;;;;Xbox One
9.03m;;;;;Xbox One
90 Minute Fever;;;;;Xbox One
90 Minutes;;;;;Xbox One
911 Operator;8.5;;;;Xbox One
99 Levels to Hell;8;;;;Xbox One
99 Waves to Die;;;;;Xbox One
999: Nine Hours, Nine Persons, Nine Doors;9.5;;;;Xbox One
99Vidas;2.5;;;;Xbox One
9:05;0.25;;;;Xbox One
9th Company: Roots of Terror;4;;;;Xbox One
9th Dawn;;;;;Xbox One
:the game:;0.4166666666666667;;;;Xbox One
A Bastard's Tale;;;;;Xbox One
A Bird Story;;;;;Xbox One
A Blind Legend;2;;;;Xbox One
A Box Full Of Joy;;;;;Xbox One
A Boy and His Blob;9;;;;Xbox One
A Boy and His Blob: Trouble on Blobolonia;0.8666666666666667;;;;Xbox One
A Bug's Life;5.5;;;;Xbox One
A Bug's Life (GBC);3;;;;Xbox One
A Camp in the Woods;;;;;Xbox One
A Chair in a Room: Greenwater;2;;;;Xbox One
A City Sleeps;1;;;;Xbox One
A Collection of Activision Classic Games for the Atari 2600;;;;;Xbox One
A Cosmic Forest;;;;;Xbox One
